Rv_ID	gene_name	Description	Final Call	tuberculist_category	NN_joined
Rv2301	cut2	Probable cutinase Cut2	Non essential	cell wall and cell processes	Rv0934, Rv3509c, Rv1242, Rv3886c, Rv2950c, Rv1205, Rv1329c, Rv3124, Rv0091, Rv1033c
Rv2302	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3911, Rv1629, Rv2252, Rv0668, Rv0582, Rv0557, Rv0478, Rv1604, Rv1316c, Rv0013
Rv2303c	-	Probable antibiotic-resistance protein	Non essential	virulence, detoxification, adaptation	Rv0757, Rv1196, Rv0518, Rv1690, Rv1106c, Rv1246c, Rv2484c, Rv2218, Rv2009, Rv1552
Rv2304c	-	Hypothetical protein	Uncertain	conserved hypotheticals	Rv0423c, Rv3230c, Rv1665, Rv1469, Rv2335, Rv3156, Rv3609c, Rv2445c, Rv1989c, Rv2786c
Rv2305	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0869c, Rv3534c, Rv3449, Rv0564c, Rv0548c, Rv3234c, Rv2953, Rv0292, Rv1270c, Rv2228c
Rv2306A	-	Possible conserved membrane protein	Non essential	cell wall and cell processes	Rv0386, Rv0629c, Rv0845, Rv2501c, Rv0901, Rv0491, Rv1308, Rv0630c, Rv3862c, Rv3225c
Rv2306B	-	Possible conserved membrane protein	Non essential	cell wall and cell processes	Rv3130c, Rv2816c, Rv3197A, Rv0220, Rv2521, Rv1848, Rv1218c, Rv3155, Rv0601c, Rv1169c
Rv2307A	-	Hypothetical glycine rich protein	Non essential	conserved hypotheticals	Rv0009, Rv2010, Rv0191, Rv2866, Rv2602, Rv3600c, Rv0620, Rv1692, Rv2088, Rv0254c
Rv2307B	-	Hypothetical glycine rich protein	Non essential	conserved hypotheticals	Rv2436, Rv0114, Rv0262c, Rv2407, Rv2911, Rv2289, Rv1317c, Rv2958c, Rv2818c, Rv2819c
Rv2307D	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0969, Rv2866, Rv2010, Rv0191, Rv0987, Rv0847, Rv1745c, Rv2549c, Rv0009, Rv3082c
Rv2307c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1384, Rv3808c, Rv2150c, Rv0382c, Rv0669c, Rv1389, Rv1602, Rv1605, Rv3487c, Rv1980c
Rv2308	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0252, Rv3056, Rv1294, Rv2725c, Rv2155c, Rv3059, Rv1201c, Rv1182, Rv3609c, Rv3573c
Rv2309A	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1911c, Rv0985c, Rv3413c, Rv1160, Rv1675c, Rv2719c, Rv2733c, Rv3586, Rv2579, Rv0230c
Rv2309c	-	Possible integrase (fragment)	Non essential	insertion seqs and phages	Rv2530c, Rv3272, Rv2702, Rv0866, Rv0933, Rv3754, Rv2232, Rv2596, Rv3911, Rv2625c
Rv2310	-	Possible excisionase	Non essential	insertion seqs and phages	Rv0008c, Rv3667, Rv3223c, Rv2626c, Rv0098, Rv0617, Rv0864, Rv3568c, Rv2976c, Rv1860
Rv2311	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3509c, Rv0091, Rv1242, Rv1410c, Rv1033c, Rv1694, Rv0867c, Rv2301, Rv0934, Rv3886c
Rv2312	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0129c, Rv1010, Rv0600c, Rv1474c, Rv3262, Rv1238, Rv1286, Rv2149c, Rv1247c, Rv1798
Rv2313c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv1182, Rv3059, Rv1399c, Rv3056, Rv1330c, Rv0838, Rv0116c, Rv3566c, Rv1314c, Rv0256c
Rv2314c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2299c, Rv1161, Rv1475c, Rv2918c, Rv3084, Rv2074, Rv1985c, Rv3585, Rv2275, Rv1699
Rv2315c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2719c, Rv3318, Rv3413c, Rv3131, Rv2112c, Rv1160, Rv1911c, Rv0438c, Rv3723, Rv2922c
Rv2316	uspA	Probable sugar-transport integral membrane protein ABC transporter UspA	Non essential	cell wall and cell processes	Rv0754, Rv1267c, Rv1563c, Rv1996, Rv1731, Rv3704c, Rv3655c, Rv3702c, NONE, NONE
Rv2317	uspB	Probable sugar-transport integral membrane protein ABC transporter UspB	Non essential	cell wall and cell processes	Rv2816c, Rv3130c, Rv0220, Rv1169c, Rv3155, Rv1848, Rv1755c, Rv0601c, Rv3197A, Rv2521
Rv2318	uspC	Probable periplasmic sugar-binding lipoprotein UspC	Non essential	cell wall and cell processes	Rv3793, Rv3378c, Rv0490, Rv3561, Rv3908, Rv1027c, Rv1496, Rv1400c, Rv3913, Rv0505c
Rv2319c	-	Universal stress protein family protein	Non essential	virulence, detoxification, adaptation	Rv3480c, Rv3089, Rv1777, Rv3307, Rv0802c, Rv0408, Rv0986, Rv3734c, Rv3133c, Rv1180
Rv2320c	rocE	Probable cationic amino acid transport integral membrane protein RocE	Non essential	cell wall and cell processes	Rv3383c, Rv1207, Rv3398c, Rv1859, Rv0677c, Rv0978c, Rv0408, Rv1746, Rv2822c, Rv0986
Rv2321c	rocD2	Probable ornithine aminotransferase (C-terminus part) RocD2 (ornithine--oxo-acid aminotransferase)	Non essential	intermediary metabolism and respiration	Rv0496, Rv3149, Rv1537, Rv2466c, Rv0020c, Rv2623, Rv1884c, Rv0678, Rv2276, Rv0113
Rv2322c	rocD1	Probable ornithine aminotransferase (N-terminus part) RocD1 (ornithine--oxo-acid aminotransferase)	Non essential	intermediary metabolism and respiration	Rv1027c, Rv3908, Rv1496, Rv1400c, Rv3561, Rv3793, Rv1931c, Rv3378c, Rv2780, Rv0490
Rv2323c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3419c, Rv0073, Rv1386, Rv1981c, Rv1205, Rv1329c, Rv0413, Rv3408, Rv1266c, Rv1850
Rv2324	-	Probable transcriptional regulatory protein (probably AsnC-family)	Non essential	regulatory proteins	Rv0496, Rv3149, Rv1537, Rv0113, Rv2623, Rv2466c, Rv2276, Rv2801c, Rv1884c, Rv0020c
Rv2325c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1237, Rv2112c, Rv2922c, Rv3723, Rv0967, Rv3131, Rv3318, Rv1698, Rv1909c, Rv0099
Rv2326c	-	Possible transmembrane ATP-binding protein ABC transporter	Non essential	cell wall and cell processes	Rv1270c, Rv3449, Rv3534c, Rv0548c, Rv2953, Rv0956, Rv1653, Rv0869c, Rv0564c, Rv2228c
Rv2327	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3313c, Rv0192, Rv3328c, Rv3812, Rv3568c, Rv0234c, Rv2964, Rv3223c, Rv3567c, Rv3903c
Rv2328	PE23	PE family protein PE23	Non essential	PE/PPE	Rv0827c, Rv2949c, Rv1009, Rv2928, Rv2710, Rv1897c, Rv1261c, Rv3724B, Rv3414c, Rv1223
Rv2329c	narK1	Probable nitrite extrusion protein 1 NarK1 (nitrite facilitator 1)	Non essential	cell wall and cell processes	Rv1365c, Rv1266c, Rv0413, Rv3408, Rv1103c, Rv1468c, Rv1743, Rv1364c, Rv1386, Rv2196
Rv2330c	lppP	Probable lipoprotein LppP	Non essential	cell wall and cell processes	Rv3132c, Rv0734, Rv0018c, Rv2740, Rv0732, Rv3416, Rv3763, Rv2103c, Rv1253, Rv2002
Rv2331	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0451c, Rv2745c, Rv2586c, Rv2870c, Rv3565, Rv0282, Rv1938, Rv0902c, Rv2428, Rv1755c
Rv2331A	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0888, Rv1185c, Rv0751c, Rv2430c, Rv2350c, Rv2376c, Rv0577, Rv2872, Rv0889c, NONE
Rv2332	mez	Probable [NAD] dependent malate oxidoreductase Mez (malic enzyme) (NAD-malic enzyme) (malate dehydrogenase (oxaloacetate decarboxylating)) (pyruvic-malic carboxylase) (NAD-me)	Non essential	intermediary metabolism and respiration	Rv2950c, Rv3045, Rv3124, Rv3419c, Rv0934, Rv1981c, Rv1558, Rv2301, Rv0735, Rv0445c
Rv2333c	stp	Integral membrane drug efflux protein Stp	Non essential	cell wall and cell processes	Rv0148, Rv0182c, Rv2822c, Rv1746, Rv3086, Rv1317c, Rv0233, Rv3133c, Rv3506, Rv2266
Rv2334	cysK1	Cysteine synthase a CysK1 (O-acetylserine sulfhydrylase A) (O-acetylserine (thiol)-lyase A) (CSASE A)	Non essential	intermediary metabolism and respiration	Rv1206, Rv2793c, Rv0486, Rv3881c, Rv3537, Rv3024c, Rv2118c, Rv0070c, Rv3316, Rv0208c
Rv2335	cysE	Probable serine acetyltransferase CysE (sat)	Non essential	intermediary metabolism and respiration	Rv3609c, Rv1201c, Rv2763c, Rv1469, Rv2155c, Rv1989c, Rv3379c, Rv1665, Rv2258c, Rv1304
Rv2336	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv2688c, Rv3417c, Rv1425, Rv2959c, Rv2952, Rv3203, Rv1221, Rv2213, Rv2821c, Rv1180
Rv2337c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0453, Rv1997, Rv2270, Rv3382c, Rv1151c, Rv1131, Rv1962c, Rv1876, Rv2294, Rv2501c
Rv2338c	moeW	Possible molybdopterin biosynthesis protein MoeW	Non essential	intermediary metabolism and respiration	Rv0408, Rv3309c, Rv3452, Rv0986, Rv3480c, Rv1368, Rv3307, Rv3702c, NONE, NONE
Rv2339	mmpL9	Probable conserved transmembrane transport protein MmpL9	Non essential	cell wall and cell processes	Rv3469c, Rv1747, Rv0015c, Rv0676c, Rv1843c, Rv0159c, Rv0447c, Rv2590, Rv3824c, Rv3792
Rv2340c	PE_PGRS39	PE-PGRS family protein PE_PGRS39	Non essential	PE/PPE	Rv0079, Rv3409c, Rv2824c, Rv2855, Rv2973c, Rv0116c, Rv3879c, Rv1314c, Rv3273, Rv2743c
Rv2341	lppQ	Probable conserved lipoprotein LppQ	Non essential	cell wall and cell processes	Rv3504, Rv0092, Rv2601, Rv3339c, Rv2902c, Rv1542c, Rv1082, Rv2548, Rv1932, Rv1736c
Rv2342	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0932c, Rv1032c, Rv2631, Rv3406, Rv0609, Rv1336, Rv0058, Rv3232c, Rv0183, Rv0103c
Rv2343c	dnaG	Probable DNA primase DnaG	Essential	information pathways	Rv2612c, Rv0627, Rv0957, Rv1327c, Rv1110, Rv3709c, Rv1092c, Rv1383, Rv3608c, Rv2682c
Rv2344c	dgt	Probable deoxyguanosine triphosphate triphosphohydrolase Dgt (dGTPase) (dGTP triphosphohydrolase)	Non essential	intermediary metabolism and respiration	Rv3384c, Rv3262, Rv1082, Rv2149c, Rv1080c, Rv2737c, Rv3919c, Rv1474c, Rv1247c, Rv1932
Rv2345	-	Possible conserved transmembrane protein	Growth advantage	cell wall and cell processes	Rv2962c, Rv3744, Rv0107c, Rv0904c, Rv3581c, Rv0553, Rv1821, Rv1994c, Rv2868c, Rv0938
Rv2346c	esxO	Putative ESAT-6 like protein EsxO (ESAT-6 like protein 6)	Growth advantage	cell wall and cell processes	Rv1198, Rv3371, Rv3297, Rv3085, Rv3910, Rv0505c, Rv0512, Rv2861c, Rv2208, Rv3628
Rv2347c	esxP	Putative ESAT-6 like protein EsxP (ESAT-6 like protein 7)	Growth advantage	cell wall and cell processes	Rv0732, Rv3763, Rv3132c, Rv0734, Rv1857, Rv2740, Rv1235, Rv1253, Rv0018c, Rv1102c
Rv2348c	-	Hypothetical protein	Growth advantage	unknown	Rv1821, Rv3794, Rv0342, Rv0654, Rv3879c, Rv3199c, Rv2345, Rv1994c, Rv1420, Rv1739c
Rv2349c	plcC	Probable phospholipase C 3 PlcC	Growth advantage	intermediary metabolism and respiration	Rv0844c, Rv2296, Rv2215, Rv0467, Rv0194, Rv2187, Rv0989c, Rv1430, Rv1330c, Rv2181
Rv2350c	plcB	Membrane-associated phospholipase C 2 PlcB	Growth advantage	intermediary metabolism and respiration	Rv0577, Rv0751c, Rv2430c, Rv1302, Rv0187, Rv0137c, Rv2872, Rv1173, Rv2625c, Rv3153
Rv2351c	plcA	Membrane-associated phospholipase C 1 PlcA (MTP40 antigen)	Growth advantage	intermediary metabolism and respiration	Rv0503c, Rv1306, Rv2970c, Rv3825c, Rv0300, Rv1601, Rv1980c, Rv1983, Rv0458, Rv0467
Rv2352c	PPE38	PPE family protein PPE38	Growth advantage	PE/PPE	Rv1527c, Rv2589, Rv2447c, Rv0054, Rv2258c, Rv3791, Rv2763c, Rv3582c, Rv1293, Rv2431c
Rv2353c	PPE39	PPE family protein PPE39	Non essential	PE/PPE	Rv1731, Rv3704c, Rv1267c, Rv1996, Rv0754, Rv1563c, Rv1777, Rv3133c, Rv3086, NONE
Rv2354	-	Probable transposase for insertion sequence element IS6110 (fragment)	Non essential	insertion seqs and phages	Rv2930, Rv2933, Rv2932, Rv2931, Rv2941, Rv2935, Rv2939, Rv2934, Rv0351, Rv0005
Rv2355	-	Probable transposase	Non essential	insertion seqs and phages	Rv0351, Rv2939, Rv2934, Rv2935, Rv2941, Rv2933, Rv2932, Rv2931, Rv2930, Rv0902c
Rv2356c	PPE40	PPE family protein PPE40	Non essential	PE/PPE	Rv3743c, Rv1161, Rv0444c, Rv0643c, Rv2074, Rv3822, Rv2918c, Rv3366, Rv0630c, Rv1962c
Rv2357c	glyS	Probable glycyl-tRNA synthetase GlyS (glycine--tRNA ligase) (GLYRS)	Essential	information pathways	Rv1011, Rv1485, Rv0041, Rv2845c, Rv3436c, Rv3341, Rv3800c, Rv1606, Rv2460c, Rv2703
Rv2358	smtB	Probable transcriptional regulatory protein SmtB (probably ArsR-family)	Non essential	regulatory proteins	Rv0983, Rv3546, Rv1348, Rv1280c, Rv1349, Rv3810, Rv0101, Rv1700, Rv0994, Rv1798
Rv2359	zur	Probable zinc uptake regulation protein Zur	Non essential	regulatory proteins	Rv2156c, Rv2540c, Rv2152c, Rv0437c, Rv2096c, Rv3420c, Rv2050, Rv1963c, Rv3872, Rv3805c
Rv2360c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0582, Rv3687c, Rv1026, Rv0749, Rv1629, Rv0678, Rv0948c, Rv2217, Rv1596, Rv3610c
Rv2361c	-	Long (C50) chain Z-isoprenyl diphosphate synthase (Z-decaprenyl diphosphate synthase)	Essential	cell wall and cell processes	Rv2726c, Rv0555, Rv2421c, Rv2244, Rv1656, Rv1094, Rv1449c, Rv1381, Rv3806c, Rv1603
Rv2362c	recO	Possible DNA repair protein RecO	Essential domain	information pathways	Rv2985, Rv2464c, Rv3616c, Rv0598c, Rv3696c, Rv0886, Rv3515c, Rv2175c, Rv2187, Rv1430
Rv2363	amiA2	Probable amidase AmiA2 (aminohydrolase)	Non essential	intermediary metabolism and respiration	Rv3262, Rv3384c, Rv1474c, Rv2737c, Rv1080c, Rv1082, Rv1247c, Rv2149c, Rv3919c, Rv2200c
Rv2364c	era	Probable GTP-binding protein Era	Growth defect	intermediary metabolism and respiration	Rv3608c, Rv2697c, Rv2130c, Rv2764c, Rv2111c, Rv0524, Rv1390, Rv3464, Rv2883c, Rv0287
Rv2365c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0609, Rv0931c, Rv0932c, Rv2222c, Rv0404, Rv2631, Rv2450c, Rv1032c, Rv3232c, Rv3158
Rv2366c	-	Probable conserved transmembrane protein	Non essential	cell wall and cell processes	Rv3413c, Rv1160, Rv2719c, Rv1675c, Rv2579, Rv3318, Rv0438c, Rv1911c, Rv0230c, Rv3131
Rv2367c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0864, Rv1108c, Rv1860, Rv3315c, Rv3557c, Rv2976c, Rv3809c, Rv1284, Rv0617, Rv2249c
Rv2368c	phoH1	Probable PHOH-like protein PhoH1 (phosphate starvation-inducible protein PSIH)	Non essential	intermediary metabolism and respiration	Rv1650, Rv1077, Rv0334, Rv2914c, Rv2801A, Rv1297, Rv1309, Rv1334, Rv2418c, Rv2388c
Rv2369c	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv3565, Rv1938, Rv0282, Rv2745c, Rv2870c, Rv2757c, Rv1755c, Rv2428, Rv1169c, Rv3270
Rv2370c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3696c, Rv0598c, Rv3515c, Rv2175c, Rv2464c, Rv3792, Rv2924c, Rv3616c, Rv1915, Rv2402
Rv2371	PE_PGRS40	PE-PGRS family protein PE_PGRS40	Uncertain	PE/PPE	Rv2343c, Rv0627, Rv3709c, Rv1092c, Rv2612c, Rv0957, Rv2682c, Rv1110, Rv1327c, Rv2614c
Rv2372c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv0018c, Rv2740, Rv0734, Rv3416, Rv3132c, Rv2103c, Rv1253, Rv2002, Rv0732, Rv3405c
Rv2373c	dnaJ2	Probable chaperone protein DnaJ2	Growth defect	virulence, detoxification, adaptation	Rv0062, Rv1002c, Rv2173, Rv2388c, Rv3712, Rv1092c, Rv1295, Rv0721, Rv3709c, Rv1334
Rv2374c	hrcA	Probable heat shock protein transcriptional repressor HrcA	Non essential	virulence, detoxification, adaptation	Rv2241, Rv0190, Rv3869, Rv1569, Rv0712, Rv1538c, Rv1589, Rv1570, Rv2606c, Rv1568
Rv2375	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2103c, Rv1253, Rv2740, Rv1692, Rv0018c, Rv3416, Rv3653, Rv0734, Rv2002, Rv1346
Rv2376c	cfp2	Low molecular weight antigen CFP2 (low molecular weight protein antigen 2) (CFP-2)	Uncertain	cell wall and cell processes	Rv3842c, Rv0203, Rv0888, Rv2982c, Rv0475, Rv0045c, Rv2872, Rv0751c, Rv2350c, Rv1302
Rv2377c	mbtH	Putative conserved protein MbtH	Non essential	lipid metabolism	Rv1347c, Rv2476c, Rv1701, Rv1638, Rv2453c, Rv0860, Rv3873, Rv3614c, Rv0450c, Rv3261
Rv2378c	mbtG	Lysine-N-oxygenase MbtG (L-lysine 6-monooxygenase) (lysine N6-hydroxylase)	Non essential	lipid metabolism	Rv2922c, Rv1237, Rv0967, Rv0099, Rv3723, Rv3874, Rv1909c, Rv1698, Rv1159, Rv3318
Rv2379c	mbtF	Peptide synthetase MbtF (peptide synthase)	Non essential	lipid metabolism	Rv1447c, Rv3574, Rv2384, Rv2383c, Rv3283, Rv1280c, Rv0470c, Rv0994, Rv0101, Rv3546
Rv2380c	mbtE	Peptide synthetase MbtE (peptide synthase)	Non essential	lipid metabolism	Rv2384, Rv2383c, Rv0470c, Rv3283, Rv1447c, Rv1280c, Rv3574, Rv0561c, Rv2795c, Rv0554
Rv2381c	mbtD	Polyketide synthetase MbtD (polyketide synthase)	Non essential	lipid metabolism	Rv1447c, Rv2384, Rv2383c, Rv3574, Rv0470c, Rv3283, Rv1280c, Rv0407, Rv0561c, Rv2795c
Rv2382c	mbtC	Polyketide synthetase MbtC (polyketide synthase)	Non essential	lipid metabolism	Rv3261, Rv3810, Rv1280c, Rv1348, Rv1349, Rv0465c, Rv2383c, Rv0470c, Rv2453c, Rv2384
Rv2383c	mbtB	Phenyloxazoline synthase MbtB (phenyloxazoline synthetase)	Non essential	lipid metabolism	Rv2384, Rv0470c, Rv3283, Rv1280c, Rv1447c, Rv3574, Rv0561c, Rv2795c, Rv0554, Rv2752c
Rv2384	mbtA	Bifunctional enzyme MbtA: salicyl-AMP ligase (SAL-AMP ligase) + salicyl-S-ArCP synthetase	Non essential	lipid metabolism	Rv2383c, Rv0470c, Rv3283, Rv1447c, Rv1280c, Rv3574, Rv0561c, Rv2795c, Rv0554, Rv2752c
Rv2385	mbtJ	Putative acetyl hydrolase MbtJ	Non essential	lipid metabolism	Rv3696c, Rv0598c, Rv2464c, Rv3515c, Rv2175c, Rv3792, Rv3616c, Rv2924c, Rv1915, Rv1760
Rv2386c	mbtI	Isochorismate synthase MbtI	Growth defect	lipid metabolism	Rv1335, Rv1468c, Rv3273, Rv3150, Rv3409c, Rv2573, Rv1103c, Rv2973c, Rv3148, Rv3146
Rv2387	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1747, Rv3469c, Rv0015c, Rv3792, Rv1843c, Rv0676c, Rv1915, Rv0447c, Rv3824c, Rv0159c
Rv2388c	hemN	Probable oxygen-independent coproporphyrinogen III oxidase HemN (coproporphyrinogenase) (coprogen oxidase)	Non essential	intermediary metabolism and respiration	Rv1297, Rv3712, Rv1309, Rv2914c, Rv1077, Rv0062, Rv3458c, Rv1650, Rv1334, Rv2418c
Rv2389c	rpfD	Probable resuscitation-promoting factor RpfD	Growth advantage	cell wall and cell processes	Rv1818c, Rv2733c, Rv0985c, Rv2285, Rv2727c, Rv1911c, Rv2902c, Rv3674c, Rv0230c, Rv1675c
Rv2390c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv1511, Rv1640c, Rv3566c, Rv2823c, Rv0838, Rv0518, Rv1196, Rv3740c, Rv2009, Rv0977
Rv2391	sirA	Ferredoxin-dependent sulfite reductase SirA	Non essential	intermediary metabolism and respiration	Rv3025c, Rv2404c, Rv1956, Rv3764c, Rv3588c, Rv0153c, Rv1340, Rv1248c, Rv0946c, Rv0462
Rv2392	cysH	Probable 3'-phosphoadenosine 5'-phosphosulfate reductase CysH (PAPS reductase, thioredoxin DEP.) (padops reductase) (3'-phosphoadenylylsulfate reductase) (PAPS sulfotransferase)	Growth defect	intermediary metabolism and respiration	Rv2110c, Rv0462, Rv1340, Rv3002c, Rv3588c, Rv1956, Rv2391, Rv1248c, Rv2977c, Rv3025c
Rv2393	che1	Ferrochelatase Che1	Non essential	intermediary metabolism and respiration	Rv3025c, Rv2404c, Rv2391, Rv0946c, Rv3764c, Rv2246, Rv0153c, Rv1908c, Rv1956, Rv1248c
Rv2394	ggtB	Probable gamma-glutamyltranspeptidase precursor GgtB (gamma-glutamyltransferase) (glutamyl transpeptidase)	Non essential	intermediary metabolism and respiration	Rv2743c, Rv2973c, Rv2824c, Rv2386c, Rv1468c, Rv3879c, Rv3409c, Rv0079, Rv1335, Rv3273
Rv2395	-	Probable conserved integral membrane protein	Non essential	cell wall and cell processes	Rv3731, Rv2095c, Rv1695, Rv1028c, Rv0551c, Rv1989c, Rv1013, Rv3379c, Rv1201c, Rv1665
Rv2396	PE_PGRS41	PE-PGRS family protein PE_PGRS41	Non essential	PE/PPE	Rv1917c, Rv3389c, Rv1885c, Rv0385, Rv3765c, Rv3854c, Rv1033c, Rv0091, Rv1410c, Rv1239c
Rv2397c	cysA1	Sulfate-transport ATP-binding protein ABC transporter CysA1	Growth defect	cell wall and cell processes	Rv2192c, Rv3710, Rv2988c, Rv1436, Rv1832, Rv1559, Rv0787A, Rv1609, Rv1437, Rv1415
Rv2398c	cysW	Probable sulfate-transport integral membrane protein ABC transporter CysW	Growth defect	cell wall and cell processes	Rv3124, Rv0934, Rv1558, Rv2950c, Rv1242, Rv0445c, Rv2301, Rv3145, Rv2748c, Rv3509c
Rv2399c	cysT	Probable sulfate-transport integral membrane protein ABC transporter CysT	Growth defect	cell wall and cell processes	Rv1436, Rv2192c, Rv2397c, Rv3710, Rv0787A, Rv2988c, Rv1437, Rv1832, Rv1609, Rv2439c
Rv2400c	subI	Probable sulfate-binding lipoprotein SubI	Growth defect	cell wall and cell processes	Rv1609, Rv2192c, Rv2397c, Rv3710, Rv1436, Rv1437, Rv2221c, Rv1559, Rv0787A, Rv2988c
Rv2401	-	Hypothetical protein	Non essential	conserved hypotheticals	Rv0655, Rv0469, Rv0895, Rv3826, Rv3703c, Rv0693, Rv2427c, Rv1368, Rv2234, Rv0432
Rv2401A	-	Possible conserved membrane protein	Uncertain	cell wall and cell processes	Rv2742c, Rv2158c, Rv3012c, Rv1311, Rv2121c, Rv0417, Rv2538c, Rv1392, Rv3425, Rv0422c
Rv2402	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2924c, Rv1611, Rv0535, Rv3433c, Rv1915, Rv0103c, Rv1213, Rv2175c, Rv3515c, Rv3792
Rv2403c	lppR	Probable conserved lipoprotein LppR	Non essential	cell wall and cell processes	Rv0496, Rv3149, Rv2466c, Rv0020c, Rv1884c, Rv1537, Rv0678, Rv2276, Rv2623, Rv0113
Rv2404c	lepA	Probable GTP-binding protein LepA (GTP-binding elongation factor)	Non essential	intermediary metabolism and respiration	Rv3025c, Rv2246, Rv3764c, Rv0946c, Rv2391, Rv1170, Rv1248c, Rv0153c, Rv0066c, Rv1956
Rv2405	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2596, Rv3157, Rv0533c, Rv3153, Rv3754, Rv0500, Rv0297, Rv0137c, Rv0933, Rv1497
Rv2406c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3702c, Rv1368, Rv0408, Rv0986, Rv3309c, Rv3452, Rv0895, Rv1267c, Rv0693, Rv3655c
Rv2407	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2289, Rv2958c, Rv0233, Rv2436, Rv1886c, Rv1317c, Rv0114, Rv3089, Rv2911, Rv1344
Rv2408	PE24	Possible PE family-related protein PE24	Non essential	PE/PPE	Rv3598c, Rv0058, Rv1032c, Rv3406, Rv0535, Rv3433c, Rv0183, Rv0103c, Rv2631, Rv1336
Rv2409c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1266c, Rv2196, Rv0413, Rv1386, Rv3408, Rv0169, Rv1365c, Rv1981c, Rv3419c, Rv3045
Rv2410c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv2868c, Rv0938, Rv2345, Rv0904c, Rv3744, Rv1821, Rv0553, Rv2962c, Rv1994c, Rv3794
Rv2411c	-	hypothetical protein	Growth advantage	conserved hypotheticals	Rv2970c, Rv1651c, Rv3712, Rv1334, Rv3607c, Rv2462c, Rv1304, Rv2607, Rv0483, Rv1306
Rv2412	rpsT	30S ribosomal protein S20 RpsT	Uncertain	information pathways	Rv2110c, Rv3002c, Rv0462, Rv2392, Rv2611c, Rv1340, Rv1991A, Rv3490, Rv0524, Rv3588c
Rv2413c	-	hypothetical protein	Essential	conserved hypotheticals	Rv1315, Rv3582c, Rv3791, Rv1293, Rv2447c, Rv1599, Rv2188c, Rv1654, Rv0803, Rv2720
Rv2414c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1747, Rv3469c, Rv0015c, Rv0676c, Rv1843c, Rv3792, Rv1915, Rv0447c, Rv0159c, Rv3824c
Rv2415c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3842c, Rv2376c, Rv0203, Rv0475, Rv0045c, Rv0751c, Rv2982c, Rv0888, Rv1302, Rv2350c
Rv2416c	eis	Enhanced intracellular survival protein Eis,GCN5-related N-acetyltransferase	Non essential	virulence, detoxification, adaptation	Rv3441c, Rv2174, Rv2946c, Rv3146, Rv0414c, Rv2583c, Rv1222, Rv2151c, Rv2005c, Rv3085
Rv2417c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv1400c, Rv1496, Rv3908, Rv1027c, Rv3561, Rv3793, Rv0490, Rv1931c, Rv2780, Rv0670
Rv2418c	-	hypothetical protein	Growth defect	conserved hypotheticals	Rv1309, Rv3458c, Rv1334, Rv1650, Rv1077, Rv1297, Rv0062, Rv2914c, Rv2388c, Rv0334
Rv2419c	gpgP	Glucosyl-3-phosphoglycerate phosphatase GpgP	Non essential	intermediary metabolism and respiration	Rv3505, Rv2613c, Rv1849, Rv2171, Rv0407, Rv3543c, Rv3544c, Rv0485, Rv3569c, Rv0391
Rv2420c	-	hypothetical protein	Non essential	conserved hypotheticals	Rv3914, Rv0824c, Rv1942c, Rv2470, Rv0733, Rv1539, Rv3443c, Rv3032, Rv3465, Rv0288
